language,average-cld2,single-words-cld2,word-pairs-cld2,sentences-cld2,average-whatlang,single-words-whatlang,word-pairs-whatlang,sentences-whatlang,average-whichlang,single-words-whichlang,word-pairs-whichlang,sentences-whichlang,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Afrikaans,55,12,56,96,51,22,41,92,NaN,NaN,NaN,NaN,64,37,62,93,78,58,80,96
Albanian,64,18,76,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,54,86,98,87,68,94,99
Arabic,66,19,81,99,93,88,92,99,100,100,100,100,94,88,95,99,98,96,99,99
Armenian,100,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Azerbaijani,71,34,81,99,79,61,81,97,NaN,NaN,NaN,NaN,82,71,78,96,89,77,92,99
Basque,61,22,69,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,55,76,91,83,71,87,92
Belarusian,75,42,87,98,91,81,94,99,NaN,NaN,NaN,NaN,91,79,95,99,96,90,99,99
Bengali,62,19,69,99,99,100,100,99,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Bokmal,NaN,NaN,NaN,NaN,49,24,44,80,NaN,NaN,NaN,NaN,49,27,47,74,58,38,58,76
Bosnian,18,4,15,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,22,28,36,34,29,34,40
Bulgarian,65,31,72,92,69,44,67,96,NaN,NaN,NaN,NaN,77,55,80,96,86,69,91,98
Catalan,37,4,29,79,51,29,45,80,NaN,NaN,NaN,NaN,58,33,60,81,70,50,73,86
Chinese,33,NaN,2,98,100,100,100,100,97,93,98,100,100,100,100,100,100,100,100,100
Croatian,51,33,46,72,61,34,54,94,NaN,NaN,NaN,NaN,59,36,57,85,72,53,74,90
Czech,73,50,79,90,63,42,66,82,NaN,NaN,NaN,NaN,70,54,71,87,80,65,84,91
Danish,59,26,56,94,53,31,45,84,NaN,NaN,NaN,NaN,70,45,70,95,81,61,83,97
Dutch,47,10,41,90,47,22,37,82,73,53,70,98,63,35,61,94,77,55,80,96
English,55,11,55,99,49,17,35,94,66,34,65,98,62,29,62,96,80,54,88,99
Esperanto,50,7,45,97,58,32,53,90,NaN,NaN,NaN,NaN,65,43,60,92,83,67,85,98
Estonian,65,23,73,99,67,43,62,96,NaN,NaN,NaN,NaN,83,62,87,99,91,79,96,99
Finnish,77,43,89,99,76,53,78,98,NaN,NaN,NaN,NaN,90,77,94,99,96,90,98,99
French,51,12,47,93,63,35,59,97,68,36,70,99,77,51,82,97,89,74,94,99
Ganda,61,23,62,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,64,86,99,91,79,95,100
Georgian,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
German,63,26,66,98,69,44,66,98,79,55,82,99,79,56,83,99,89,73,94,99
Greek,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Gujarati,99,99,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,99,100,100,99,99,100,100
Hebrew,NaN,NaN,NaN,NaN,95,92,95,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Hindi,76,55,75,99,68,54,54,96,100,100,100,100,32,11,19,67,73,60,64,94
Hungarian,75,40,85,99,72,50,70,98,NaN,NaN,NaN,NaN,90,77,93,99,94,86,97,100
Icelandic,65,25,73,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,71,92,99,93,82,96,99
Indonesian,62,36,62,88,69,42,69,95,NaN,NaN,NaN,NaN,47,25,45,71,60,39,60,82
Irish,66,29,77,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,70,90,94,90,81,94,95
Italian,44,6,32,93,56,25,48,96,85,68,87,99,71,41,73,98,86,69,91,99
Japanese,33,NaN,NaN,100,99,98,100,100,99,98,100,99,100,100,100,100,100,100,100,100
Kazakh,76,43,87,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,77,92,98,91,79,96,99
Korean,99,100,100,99,99,100,100,99,99,100,100,99,99,100,100,99,99,100,100,99
Latin,46,8,42,88,55,36,51,79,NaN,NaN,NaN,NaN,73,49,75,94,87,72,92,97
Latvian,72,33,84,98,85,70,86,97,NaN,NaN,NaN,NaN,87,74,90,96,93,84,96,98
Lithuanian,70,29,81,99,79,59,81,97,NaN,NaN,NaN,NaN,87,75,88,98,94,86,97,99
Macedonian,60,27,69,83,66,43,60,96,NaN,NaN,NaN,NaN,71,50,69,95,83,65,86,98
Malay,17,9,21,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,21,35,35,30,26,38,28
Maori,60,12,71,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,63,87,97,92,84,92,99
Marathi,83,65,86,98,78,59,80,94,NaN,NaN,NaN,NaN,39,15,29,71,85,73,84,96
Mongolian,78,43,92,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,87,96,99,96,91,98,99
Nynorsk,54,18,50,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,25,49,81,65,40,65,90
Persian,61,12,72,99,72,49,68,99,NaN,NaN,NaN,NaN,80,61,80,97,90,77,93,99
Polish,74,37,86,99,81,63,81,99,NaN,NaN,NaN,NaN,89,76,93,99,94,85,98,99
Portuguese,53,19,47,94,60,30,52,97,70,42,70,99,68,41,69,95,81,59,85,98
Punjabi,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Romanian,53,11,53,96,66,45,62,90,NaN,NaN,NaN,NaN,72,49,73,94,86,68,91,99
Russian,60,26,67,86,67,51,66,84,100,100,100,100,77,58,83,91,88,74,94,97
Serbian,68,29,77,99,66,46,63,89,NaN,NaN,NaN,NaN,77,61,79,91,87,72,90,98
Shona,64,23,71,99,76,55,76,98,NaN,NaN,NaN,NaN,80,56,86,99,91,77,95,100
Slovak,71,37,75,99,64,40,60,93,NaN,NaN,NaN,NaN,75,49,78,97,84,64,90,98
Slovene,47,8,42,92,52,29,43,83,NaN,NaN,NaN,NaN,66,39,67,93,82,61,86,98
Somali,69,26,83,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,64,90,99,92,81,95,99
Sotho,53,12,54,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,42,74,97,85,66,90,99
Spanish,43,12,33,84,47,18,32,91,62,35,54,98,56,25,48,93,69,43,68,97
Swahili,57,15,58,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,43,68,96,80,60,84,98
Swedish,53,14,52,93,61,34,57,92,71,47,70,97,72,45,75,94,83,64,88,98
Tagalog,50,9,44,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,35,66,96,77,52,83,98
Tamil,100,100,100,100,100,100,100,100,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Telugu,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Thai,99,100,100,99,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Tsonga,61,19,67,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,46,73,96,84,66,89,98
Tswana,56,17,57,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,44,73,96,84,65,88,98
Turkish,66,30,71,97,63,39,59,91,92,83,94,99,87,70,91,99,93,83,97,99
Ukrainian,77,45,87,98,85,69,88,98,NaN,NaN,NaN,NaN,85,73,91,92,91,83,97,94
Urdu,61,8,75,99,68,45,63,95,NaN,NaN,NaN,NaN,79,64,78,96,90,80,94,97
Vietnamese,63,NaN,89,99,91,75,97,99,85,64,91,99,87,75,87,98,90,78,94,99
Welsh,72,34,85,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,60,87,98,91,78,95,99
Xhosa,71,45,70,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,44,67,93,82,63,85,98
Yoruba,36,1,22,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,33,60,92,74,50,76,96
Zulu,54,18,51,93,76,53,77,99,NaN,NaN,NaN,NaN,70,45,71,94,80,62,83,97
Amharic,42,1,30,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Burmese,100,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,100,100,99,100,100,100,100
Chechen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,79,86,86,87,88,89,86
