ប្លាតុង ក្នុងរូបាធិដ្ឋាននៃគុហារបស់លោក
លោកប្លាតុងញែករវាងទម្រង់សណ្ឋាន គំនិត
ការស្រមើស្រមៃទៅជាពិភពពីរផ្សេងៗគ្នា ពិភពលោកឥន្ទ្រីយារម្មណ៍
ពិភពលោកអមត្តញ្ញតា រួមមាន
ទសបារមី គឺជា​ការ​សាង​បារមី​ទាំង​
ក្នុងជាតិទាំងរបស់​ ព្រះពោធិសត្វ
ដោយត្រឹមត្រូវមុន​ពេល​បាន​ត្រាស់​ជា​ ព្រះពុទ្ធ
បារមីទាំង​​នោះ​គឺ ករុណា​ម្ចាស់
ត្បាល់​ក្ដឿង​ខ្ញុំ​ករុណា​មាន នៅ​ខាង​កន្សៃ​ផ្ទះ​ឯ​នោះ
អើ​ញោម​បើ​ដូច្នេះ ញោម​យក​កូន​នឹង​គ្រឿង​ទៀនធូប​អស់​នេះ
ទៅ​ឯ​រោង​ក្ដឿង អាត្មា​នឹង​រៀប​ពិធី​ក្ដឿង
ទង់របស់ពុទ្ធិកសមាគមពិភពលោក ជាទង់មានពណ៌
តម្រូវនឹងឆព្វណ្ណរង្សី របស់ព្រះសម្ពុទ្ធជា
ម្ចាស់ ជាមូលដ្ឋានតាំងគំរូ
ដែលក្រុម​ប្រឹក្សាប្រតិបត្តិការបានធ្វើហើយ ដូច្នេះទង់ពុទ្ធសាសនា
ក៏បានឧបត្តិកឡើងជាស្ថាពរតាំងពីកាលនោះមក ទង់ពុទ្ធសាសនាមានប្រាំមួយពណ៌នោះគឺ
អ្នក​ដំណើរ​ឆ្លើយ​ប្រាប់ ផ្លុំ​ដំបូង
ដើម្បី​កម្ដៅ​ដៃ​របស់​ខ្ញុំ ផ្លុំ​ម្ដង​ទៀត
ដើម្បី​ធ្វើ​ឲ្យ​បបរ​ត្រជាក់​ មនុស្ស​ព្រៃ​ពោល​ថាៈ
អ្នក​ត្រូវ​បន្ត​ដំណើរ​របស់​អ្នក​ទៅ​ទៀត​ចុះ ទេព្ដា​អើយ​
ការសូត្រព្រះនាមព្រះពុទ្ធមួយឃ្លា បើធ្វើអោយបានត្រឹមត្រូវ
មានឥរិយាបថល្អពាន់ និងចរិយាប្រពៃម៉ឺន
ការផ្សប់ផ្សាយទាំងអស់នៃហ្សេន និងវិធីសិក្សានៃសូត្រទាំងឡាយ
មាននៅក្នុងនេះស្រាប់ បញ្ចទ្វារាវជ្ជនៈ
ចិត្តបែរទៅរកទ្វារវិញ្ញាណ នេះជាចិត្តទី
