ວິທີການລ້ຽງລູກແບບຜິດໆ ທີ່ພໍ່ແມ່ຄວນຮູ້
ຢ່າທໍາຮ້າຍລູກຮັກດ້ວຍມືຂອງເຈົ້າເອງ ພໍ່ແມ່
ຜູ້ປົກຄອງຫຼາຍຄົນອາດຈະບໍ່ທັນຮູ້ຕົວ ສັງເກດວ່າ
ພຶດຕິກໍາ ສິ່ງທີ່ເຮົາສັ່ງສອນລູກນັ້ນເປັນການທໍາຮ້າຍເຂົາທັງທາງກົງ
ທາງອ້ອມແບບຮູ້ເທົ່າບໍ່ເຖິງການ ມີພຶດຕິກໍາໃດແດ່ທີ່ເຮົາບໍ່ຄວນນໍາໄປສອນ
ໃຊ້ກັບລູກຂອງເຮົາ ປຽບທຽບລູກກັບເດັກນ້ອຍຄົນອື່ນເປັນປະຈໍາ
ການປຽບທຽບກັບເດັກນ້ອຍຄົນອື່ນຢູ່ຕະຫຼອດເວລາ ບໍ່ວ່າຈະດ້ານໃດ
ຈະເຮັດໃຫ້ເຂົາຮູ້ສຶກກົດດັນ ຮູ້ສຶກວ່າຕົວເອງມີປົມດ້ອຍ
ຮູ້ສຶກວ່າພໍ່ແມ່ບໍ່ຮັກ ແຕ່ໄປຮັກຄົນອື່ນຫຼາຍກວ່າ
ເຮັດໃຫ້ເຂົາຮູ້ສຶກອ່ອນແອ ສະແດງອອກມາເປັນອາການຕໍ່ຕ້ານ
ສາລະພັດການຮຽນພິເສດ ເຖິງວ່າການຮຽນພິເສດ
ເປັນສິ່ງທີ່ດີແຕ່ຕ້ອງຖາມຄວາມສະຫມັກໃຈເຂົາກ່ອນ ບໍ່ແມ່ນໃຫ້ເຂົາເອົາແຕ່ຮຽນຈົນບໍ່ມີເວລາພັກຜ່ອນ
ເຮັດແນວອື່ນ ຢ່າລັກເວລາໃນຊີວິດຂອງເຂົາໄປໂດຍເຂົາບໍ່ຍິນຍອມ
ປົກປ້ອງຄືກັບໄຂ່ໃນຫີນ ການປົກປ້ອງລູກເປັນສິ່ງທີ່ພໍ່ແມ່ຄວນເຮັດ
ແຕ່ຕ້ອງປົກປ້ອງເຂົາແບບທາງສາຍກາງ ບາງຢ່າງຕ້ອງປ່ອຍໃຫ້ເຂົາຮຽນຮູ້ເອງ
ໃຫ້ເຂົາຮູ້ຈັກແພ້ ຫຼືຊະນະ
ແກ້ໄຂບັນຫາດ້ວຍຕົນເອງກ່ອນຈະຮ້ອງຂໍຄວາມຊ່ວຍເຫຼືອຈາກຜູ້ອື່ນ ເຮົາບໍ່ສາມາດປົກປ້ອງເຂົາໄດ້ຕະຫຼອດເວລາຈົນສິ້ນອາຍຸ
ດັ່ງນັ້ນ ສິ່ງທີ່ດີທີ່ສຸດຄືສອນໃຫ້ເຂົາຮູ້ຈັກປົກປ້ອງຕົວເອງຈາກສັງຄົມທີ່ໂຫດຮ້າຍໃຫ້ໄດ້
ເບິ່ງສິ່ງທີ່ເຂົາຮັກສິ່ງທີ່ເຂົາມັກເປັນເລື່ອງໄຮ້ສາລະ ຄວາມມັກ
ຄວາມຖະຫນັດຂອງຄົນເຮົາບໍ່ຄືກັນ ລູກຂອງເຮົາກໍຄືກັນ
ການທີ່ເຂົາມີຄວາມຖະຫນັດ ຄວາມມັກກໍເຮັດເລື່ອງໃດເປັນພິເສດ
ເຮົາຄວນປ່ອຍໃຫ້ເຂົາຮຽນຮູ້ ເຮັດໃນສິ່ງນັ້ນ
ຫາກຍັງຢູ່ໃນໄວຮຽນ ຊ່ວງວລາບໍ່ເໝາະສົມອາດຈະບອກເຂົາ
ອະທິບາຍດ້ວຍເຫດຜົນ ບໍ່ແມ່ນຫ້າມ
ດູຖູກໃນສິ່ງທີ່ເຂົາຄິດໃນທັນທີ ໃຫ້ທ້າຍລູກ
ລູກເຮົາເຮັດຖືກໄດ້ ກໍຍ່ອມເຮັດຜິດໄດ້
ເຮົາມີໜ້າທີ່ຄ່ອຍຊີ້ແນະເຂົາ​ໃຫ້ດໍາເນີນຊີວິດທີ່ຖືກຕ້ອງ ການໃຫ້ທ້າຍລູກໃນສິ່ງທີ່ຄວນສອນ
ຕັກເຕືອນຈະເຮັດໃຫ້ເຂົາເຄີຍຕົວ ບໍ່ເກງກົວ
ໃຫ້ຄວາມເຄົາລົບໃຜໆ ໂທລະພາບ
ສຸດໃຈ ດວງຈຳປາ
ສຸດໃຈ ດວງຈຳປາ
ສົມຄິດ ສຸຣິຍະສັກ
ຄຳພອນ ສຸຂະວົງສ໌
ໂສສຸພັນ ເມືອງຊຳ
ສົມເພັດ ສີແສງຣັດ
ຊື່ກອນ ຈັນເທບບຸບຜາ
ສາຍເຊລຳເພົາ ພາຍຫຼັງທີ່ສູນກາງຄ້າໄອເຕັກມໍ
ຕິດປ້າຍປະກາດວ່ານັບຕັ້ງແຕ່ວັນທີ ກໍລະກົດ
ເປັນຕົ້ນໄປຈະໄດ້ມີການເກັບຄ່າບໍລິການຝາກລົດໃຫຍ່ ເຮັດໃຫ້ຊາວໂຊຊຽວວິພາກວິຈານກັນຢ່າງໃຫຍ່ວ່າບໍ່ເໝາະສົມ
ທັງເປັນການໄລ່ລູກຄ້າທາງອ້ອມ ສະນັ້ນ
ທາງພາກສ່ວນທີ່ກ່ຽວຂ້ອງຈຶ່ງໄດ້ນຳເອົາບັນຫາດັ່ງກ່າວໄປປຶກສາຫາລືອີກຄັ້ງ ແລະໄດ້ຕັດສິນໃຈຢຸດຕິການເກັບຄ່າບໍລິການຝາກລົດໃຫຍ່ຢູ່ເດີ່ນຈອດລົດຂອງສູນການຄ້າໄອເຕັກມໍ
້ເລີ່ມຕັ້ງແຕ່ວັນທີ ກໍລະກົດ
ເປັນຕົ້ນໄປ ດັ່ງທີ່ໄດ້ໂພສຂໍ້ຄວາມລົງໃນເຟຊບຸກໄອເຕັກມໍດັ່ງນີ້
ທະນາຄານກຸງສີ ສໍາມະນານະວັດຕະກຳການເງິນໃນຍຸກດີຈີຕອລ
ໃນວັນທີ ພະຈິກນີ້
ທະນາຄານກຸງສີ ໄດ້ຈັດສຳມະນາຫົວຂໍ້
ນະວັດຕະກຳການເງີນໃນຍຸກດິຈິຕອລ ໃຫ້ລູກຄ້າ
ຫົວໜ່ວຍທຸລະກິດຕ່າງໆ ຂຶ້ນທີ່ນະຄອນຫຼວງວຽງຈັນ
ໂດຍການເປັນປະທານຂອງທ່ານ ພູນສິດ
ວ່ອງທະວັດໄຊ ຜູ້ຊ່ວຍກຳມະການຜູ້ຈັດການໃຫຍ່
ຜູ້ບໍລິຫານສາຍງານສື່ສານອົງກອນ ມີທ່ານແຊມ
ຕັນສະກຸນ ຜູ້ອໍານວຍການ
ເຂົ້າຮ່ວມນໍາດ້ວຍ ພູນສິດ
ວ່ອງທະວັດໄຊ ກ່າວວ່າ
ໃນໄລຍະຕົ້ນປີຜ່ານມາ ທະນາຄານກຸງສີໄດ້ສ້າງຕັ້ງບໍລິສັດຍ່ອຍອີກແຫ່ງໜຶ່ງໃນສັງກັດຊຶ່ງເອີ້ນວ່າ
ບໍລິສັດ ຈຳກັດ
ດ້ວຍທຶນຈົດທະບຽນ ລ້ານໂດລາສະຫະລັດ
ຊຶ່ງມີເປົ້າໜາຍໃນການສ້າງຟິນເທັກຢູນີຄອນໜ້າໃໝ່ໆ ປະສານນະວັດຕະກຳໃຫ້ເຂົ້າກັບຜະລິດຕະພັນ
ການບໍລິການຂອງກຸງສີ ເພື່ອສ້າງປະສົບການໃໝ່ທີ່ໜ້າປະທັບໃຈໃຫ້ລູກຄ້າ
ທ່ານຍັງກ່າວອີກວ່າ ຍ້ອນຄວາມກ້າວໜ້າແບບຕໍ່ເນື່ອງຂອງເຕັກໂນໂລຍີການເງີນ
ເຮັດໃຫ້ເກີດມີໂອກາດໃນການເຊື່ອມໂຍງລະຫວ່າງສະຖາບັນການເງິນ ລູກຄ້າໄດ້ຫຼາຍກວ່າເກົ່າ
ຍ້ອນຄວາມວ່ອງໄວ ມີການພັດທະນາຢ່າງຕໍ່ເນື່ອງຂອງປະສິດທິພາບການດຳເນີນງານດ້ວຍການຍອມຮັບ
ນຳໃຊ້ຂະບວນການດີຈີຕອລ ອັດຕະໂນມັດ
ຊຶ່ງໄດ້ພັດທະນາປະສົບການຂອງລູກຄ້າໃຫ້ດີຂຶ້ນ ໃນຂະນະທີ່ຄວາມຖືກຕ້ອງ
ຄວາມປອດໄພກໍເພີ່ມຂຶ້ນເຊັ່ນດຽວກັນ ກໍລະນີສຶກສຳລັບຜູ້ປະກອບການວິສາຫະກິດຂະໜາດນ້ອຍຂະນາດກາງ
ລວມມີບໍລິສັດ ເຕັກໂນໂລຍີທາງການເງິນ
ທີ່ໃຫ້ການສະໜັບສະໜູນ ການຊຳລະຂ້າມແດນ
ການໂອນເງິນ ການປ່ອຍກູ້
ບຸກຄົນຕໍ່ບຸກຄົນອື່ນໆອີກ ທ່ອງທ່ຽວສໍາຫລັບເຈົ້າຂອງສັດລ້ຽງ
ຫມາໃນຄອບຄົວປະຕິເສດກ່ຽວກັບການບິນ ເອກະຊົນ
ລາຍການຜະລິດຕະພັນ ຊື່​ສາ​ທາງ​ເລືອກ​
ຫຼິ້ນ​ຢູ່ ຢູ່​ໃນ​ລະ​ດັບ​ໃຫມ່​ໃນ​ແຕ່​ລະ​ບົດ​ເລື່ອງ​ໃຫມ່​ເບິ່ງ​ຄື​ວ່າ
ຊາວ​ຫນຸ່ມ​ຮຸນ​ແຮງ​ ທັນ​ທີ​ຫຼັງ​ຈາກ​ການ​ຕິດ​ຕັ້ງ​ຂອງ​ໂຄງ​ການ​ແລະ​ການ​ເລີ່ມ​ຕົ້ນ​ຂອງ​ເກມ​ທີ່​ທ່ານ​ຈະ​ມີ​ຄວາມ​ຮູ້​ສຶກ​ບໍ່​ສະ​ບາຍ​ເລັກ​ນ້ອຍ​
ເມື່ອ​ທ່ານ​ໄດ້​ຮັບ​ເຂົ້າ​ໄປ​ໃນ​ບັນ​ຍາ​ກາດ​ຂອງ​ໂຄງ​ການ​ນີ້​ ທ່ານ​ຈະ​ເຂົ້າ​ໃຈ​ຄວາມ​ຫມາຍ​ທັງ​ຫມົດ​ຂອງ​ເລື່ອງ​ໄດ້​
ຈຳຫນ່າຍ ຕົ້ນກ້າ
ອິນທະຜາລຳ ກິນຫມາກ
ກະດານແຫ່ງການຮຽນຮູ້ ການຕະຫຼາດບໍລິຫານທຸລະກິດ
ພັນລາວຄອມ ກະດານແຫ່ງການຮຽນຮູ້
ການຕະຫຼາດບໍລິຫານທຸລະກິດ ຈຳຫນ່າຍ
ຕົ້ນກ້າ ອິນທະຜາລຳ
ກິນຫມາກ ດັ່ງຮູບຂ້າງລຸ່ມ
ສົນໃຈ ສອບຖາມຂໍ້ມູນໄດ້ທີ່
ສະຖານທີ່ເພາະກ້າ ສວນອິນທະຜາລຳການ
ໄລ່ປະເສີດສຸກ ການຈະນະບູລີ
ປະເທດໄທ ບໍ່ເຄີຍກິນຫລືວ່າເຄີຍກິນແລ້ວບໍ່ຮູ້
ສຳຫຼວດດວງຈັນ ພັນລາວຄອມ
ມັກກິນໝີ່ ພັນລາວຄອມ
ຮູບຂອງ ສີດໍາປະຊາຊົນປະຫວັດສາດ
ລາງວັນ ໂລກທີ່ມີຊື່ສຽງຂອງລາງວັນ
ຄວາມຄິດເຫັນ ພວກເຮົາສະເຫນີໃຫ້ປະຕູສໍາລັບປະຊາຊົນຊອກຫາຂໍ້ເທັດຈິງແລະຂໍ້ມູນກ່ຽວກັບຊີວິດຂອງປະຊາຊົນດໍາທີ່ມີຊື່ສຽງແລະທີ່ສໍາຄັນໃນປະຫວັດສາດອາເມລິກາໄດ້
ເວັບໄຊທ໌ຂອງພວກເຮົາໄດ້ຖືກນໍາໃຊ້ໂດຍຄູອາຈານຊອກຫາຄວາມຄິດສໍາລັບກິດຈະກໍາເດືອນ ນັກສຶກສາວິໄຈໂຄງການ
ແລະພໍ່ແມ່ກັງວົນທີ່ຕ້ອງການທີ່ຈະເຮັດໃຫ້ແນ່ໃຈວ່າເດັກນ້ອຍຂອງເຂົາເຈົ້າໄດ້ຢ່າງເຕັມສ່ວນຮູ້ຂອງຈໍານວນຫຼາຍອາເມລິກາໃນອາຟຣິກາທີ່ມີຊື່ສຽງຜູ້ທີ່ສາມາດ ເປໃຫ້ເຂົາເຈົ້າທີ່ຈະເຮັດຕາມຄວາມຝັນຂອງເຂົາເຈົ້າ
ເກີດເຫດໄຟໄໝ້ທີ່ເມືອງຄຳ ຜົນເສຍຫາຍ
ເຮືອນ ບ້ານດັ່ງກ່າວ
ເປັນບ້ານທີ່ຢູ່ຫ່າງໄກສອກຫຼີກຈາກຕົວເມືອງ ກິໂລແມັດ
