घाइतेलाई सञ्चालकले
लिइसकेका एल्बम
मात्रै निक्लेका
ब्रान्डसहित कम्पनीका
हुनेछन् सामान
अबधारना गठबंधन
गरेका वर्षअघि
बूढानीलकण्ठ स्कूलले
विद्यार्थीबाट नेपालमा
गरेको लेवलको
अहिले दर्जन
कलेजमा थपिने
क्रमसँगै बर्सेनि
विद्यार्थी बढिरहेका
वर्षअघि खुलामञ्चमा
सद्भावना पार्टीको
कार्यक्रम हुँदा
ढुङ्गा जुत्ता
बर्सिएको इतिहास
स्मरण गर्दै
अवस्था फेरिएकामा
मधेसी नेताले
सन्तोषानुभूतिसमेत व्यक्त
गरेका वर्षपछि
लागेको दोस्रो
भागमा श्रीदेवी
हुनेछन् सिन्हास
जर्नल सम्पादन
गरिसकेपछि संसारको
फोरममा जर्नल
सम्पादनसम्बन्धी लेक्चर
वर्षिया फतिमा
युवतीले आत्मघाती
आक्रमणमा दिएकी
वर्षीय मेसीले
लिगमा शीर्ष
गोलकर्ता बन्दै
पहिलो र्सवाधिक
गोलकर्ताको ट्रफी
वर्षे उमेरमा
गरेको कामभन्दा
राम्रो गर्नुपर्छ
वषर्ीय महिनाअघि
मात्रै सशस्त्र
प्रहरीमा प्रवेश
गरेका वषर्ीया
दुलही बसुन्धरा
मल्लको भाँचिएको
वषिर्य रस्तोगीको
रिहाइका बाबुले
अपहरणकारीलाई भेटेर
रुपैया बुझाईसक्दापनि
मुक्त नगरिएपछि
परिवारै चिन्तामा
डुवेको वैशाखमा
झ्ापा दमकको
लक्ष्मी बैंकमा
लुटपाटमा स्थानीय
प्रशासनको आलोचना
हुँदै दिउँसो
व्यस्त बजारस्थित
बैंकमा लुटेराहरूले
पेस्तोल देखाउँदै
सुरक्षागार्ड कर्मचारीलाई
नियन्त्रणमा सदस्य
राष्ट्रमध्ये राष्ट्र
दक्षिण अमेरिकी
पश्चिमी उपनिवेशिक
शासनबाट मुक्त
राष्ट्रहरू बसोबास
रहेको तातोपानी
सुनसान हुँदै
भूकम्पपछि तातोपानी
पूर्ण रूपमा
सरस्वती साउनमा
भट्टराईले उर्जा
हरिराम कोइरालाको
संयोजकत्वमा वार्ता
गरेका सेकेन्डले
सेकेन्ड निकाल्दै
शीर्ष स्थानमाथि
कब्जा जमाएका
बाँकी विहारको
संरक्षणका सामाजिक
हितका कार्यमा
गरिने महाविहारका
सदस्य बज्रमुनि
बज्राचार्यले बताउनभुयो
जनसंख्यालाई लक्षित
खोलाको खानेपानी
योजना निर्माण
हजारदेखि प्रदान
गरिएको बाटोखर्च
बाहेक अयोग्यता
परिचय अन्योलपूर्ण
भविष्य मात्रै
मुलुकभरि रिक्त
रहेका निजामती
कर्मचारीहरू हेक्टर
क्षेत्रफलमा फैलिएको
सुस्ता भारतीय
अतिक्रमणको पटकको
चपेटामा पर्दै
जाादा हेक्टरमा
सीमित पुगेको
सुस्ता अभियानका
संयोजक गोपाल
गुरुङ बताउनु
